Collection,ministry,n_rows,merge_add_columns,needs_review,n_header_sigs,n_missing_header,sample_titles
"Village/Town-wise Primary Census Abstract, 2011 - Aurangabad District (schema 1)","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",578,district,False,1,0,"Village/Town-wise Primary Census Abstract, 2011 - Kupwara District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Badgam District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Leh(Ladakh) District of JAMMU & KASHMIR"
Gram Panchayat-wise Rural Sanitation Coverage in Vikarabad District of Telangana as on date (schema 1),Ministry of Jal Shakti,390,"year,state,district",False,1,0,Gram Panchayat-wise Rural Sanitation Coverage in Barpeta District of Assam as on date | Gram Panchayat-wise Rural Sanitation Coverage in Bongaigaon District of Assam as on date | Gram Panchayat-wise Rural Sanitation Coverage in Cachar District of Assam as on date
Andhra Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year (schema 1),Ministry of Statistics and Programme Implementation,358,state,True,13,0,Andhra Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94 | Andhra Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year 2004-05 | Arunachal Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94
Andhra Pradesh Gross State Domestic Product at Factor Cost by Industry of Origin at 2004-05 Prices - From 2004-05 to 2013-14 (as on 01.03.2014) (schema 1),Ministry of Statistics and Programme Implementation,263,state,True,12,0,Andhra Pradesh Gross State Domestic Product at Factor Cost by Industry of Origin at Current Prices - From 2004-05 to 2014-15 (as on 27.02.2015) | Andaman & Nicobar Islands Gross State Domestic Product at Factor Cost by Industry of Origin at Current Prices - From 2004-05 to 2013-14 (as on 27.02.2015) | Arunachal Pradesh Gross State Domestic Product at Factor Cost by Industry of Origin at Current Prices - From 2004-05 to 2014-15 (as on 27.02.2015)
Andhra Pradesh Gross State Domestic Product at Factor Cost by Industry of Origin at 2004-05 Prices - From 2004-05 to 2013-14 (as on 01.03.2014) (schema 2),Ministry of Statistics and Programme Implementation,256,state,True,5,0,Andaman & Nicobar Islands Gross State Domestic Product at Factor Cost by Industry of Origin at 2004-05 Prices - From 2004-05 to 2013-14 (as on 01.03.2014) | Andhra Pradesh Gross State Domestic Product at Factor Cost by Industry of Origin at 2004-05 Prices - From 2004-05 to 2013-14 (as on 01.03.2014) | Arunachal Pradesh Gross State Domestic Product at Factor Cost by Industry of Origin at 2004-05 Prices - From 2004-05 to 2013-14 (as on 01.03.2014)
Female headed households classified by source and location of drinking water and availability of electricity and latrine,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",194,state,True,0,194,"Households by Source and Location of Drinking Water and Availability of Electricity and Latrine, 2001 - Jammu & Kashmir | Households by Source and Location of Drinking Water and Availability of Electricity and Latrine, 2001 - Himachal Pradesh | Households by Source and Location of Drinking Water and Availability of Electricity and Latrine, 2001 - Punjab"
Households Belonging to Scheduled Castes by Female Literates Among Female Members of the Household Age 7 Years and Above,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",192,state,True,0,192,"Households Belonging to Scheduled Castes by Female Literates Among Female Members of the Household Age 7 Years and Above, 2001 - India | Households Belonging to Scheduled Castes by Female Literates Among Female Members of the Household Age 7 Years and Above, 2001 - Jammu & Kashmir | Households Belonging to Scheduled Castes by Female Literates Among Female Members of the Household Age 7 Years and Above, 2001 - Himachal Pradesh"
Gram Panchayat-wise Rural Sanitation Coverage in Shahjahanpur District of Uttar Pradesh as on date (schema 1),Ministry of Jal Shakti,159,"year,state,district",False,1,0,Gram Panchayat-wise Rural Sanitation Coverage in Anantapur District of Andhra Pradesh as on date | Gram Panchayat-wise Rural Sanitation Coverage in Guntur District of Andhra Pradesh as on date | Gram Panchayat-wise Rural Sanitation Coverage in Krishna District of Andhra Pradesh as on date
Households by Female Literates Among Female Members of the Household Age 7 Years and Above,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",143,"year,state",True,0,143,"Households by number of literates among the members of household age 7 years and above, 2011 - INDIA | Households by number of literates among the members of household age 7 years and above, 2011 - JAMMU & KASHMIR | Households by number of literates among the members of household age 7 years and above, 2011 - HIMACHAL PRADESH"
Households by Size and Female Members Seeking/Available for Work,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",142,"year,state",True,0,142,"Households by size and number of members seeking/available for work, 2011 - INDIA | Households by size and number of members seeking/available for work, 2011 - JAMMU & KASHMIR | Households by size and number of members seeking/available for work, 2011 - HIMACHAL PRADESH"
GSVA by Economic Activity at Current Prices for Delhi from 2011-12 to 2016-17 (as on 31.03.2017),Ministry of Statistics and Programme Implementation,124,state,True,3,0,GSVA by Economic Activity at Constant (2011-12) Prices for Andhra Pradesh from 2011-12 to 2016-17 (as on 31.03.2017) | GSVA by Economic Activity at Current Prices for Andhra Pradesh from 2011-12 to 2016-17 (as on 31.03.2017) | NSVA by Economic Activity at Constant (2011-12) Prices for Andhra Pradesh from 2011-12 to 2016-17 (as on 31.03.2017)
